"","hostile_offline","hostile_offline1","hostile_offline2","hostile_offline3","hostile_offline4","hostile_online","hostile_online1","hostile_online2","hostile_online3","hostile_online4","hostile_online5","hostile_online6","talk_offline","talk_offline1","talk_offline2","talk_offline3","talk_offline4","talk_offline5","talk_online","talk_online1","talk_online2","talk_online3","talk_online4","talk_online5","tone_online4","tone_online5","tone_online6","tone_online1","tone_online2","tone_online3","tone_online_neg","tone_online_pos","tone_offline4","tone_offline5","tone_offline6","tone_offline1","tone_offline2","tone_offline3","tone_offline_neg","tone_offline_pos","conflict_all_online","conflict_all_offline","conflict_online1","conflict_online2","conflict_online3","conflict_online4","conflict_online5","conflict_online6","conflict_online7","conflict_online8","conflict_offline1","conflict_offline2","conflict_offline3","conflict_offline4","conflict_offline5","conflict_offline6","conflict_offline7","conflict_offline8","offended_offline1","offended_offline2","offended_offline3","offended_online1","offended_online2","offended_online3","part_online","part_offline","ders","sdrt","aggression","ders1","ders2","ders3","ders4","ders5","ders6","ders7","ders8","ders9","ders10","ders11","ders12","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","female","age","age_year","highered","income","pid","Party_red","Party_other"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.722222222222222,0.611111111111111,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.416666666666667,0.416666666666667,0,0.333333333333333,0.166666666666667,0,0.166666666666667,0.833333333333333,0.833333333333333,1,NA,0.166666666666667,0.166666666666667,NA,0.166666666666667,1,0,1,0,0,0.166666666666667,0,0,0.166666666666667,0.0833333333333333,0.166666666666667,0.545454545454545,0.166666666666667,0.424242424242424,0.166666666666667,0.666666666666667,0.333333333333333,NA,1,0.666666666666667,0.166666666666667,0.333333333333333,1,1,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,NA,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0,0.666666666666667,0,0,0.166666666666667,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,0.333333333333333,0,0.24390243902439,30,1,0.909090909090909,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.166666666666667,0.333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.666666666666667,1,0.666666666666667,0,0.777777777777778,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0.166666666666667,0.0833333333333333,0.166666666666667,0.194444444444444,0.357142857142857,0.180555555555556,0.5,0,0,0,0,0.5,0.333333333333333,0,0,1,0,0,0.666666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333,0.5,0.5,0,0.5,0.666666666666667,0.166666666666667,0.5,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0.666666666666667,0.666666666666667,0.5,0,0,0,0,0,20,0,0.181818181818182,"Red_block",1,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.333333333333333,0.166666666666667,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.833333333333333,1,1,0.166666666666667,0.166666666666667,0.666666666666667,0.944444444444445,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.5,0.222222222222222,0.611111111111111,0.285714285714286,0.229166666666667,NA,0.666666666666667,0.166666666666667,0,0.166666666666667,1,0,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0,0.5,0,0,0,0.166666666666667,0.333333333333333,0.833333333333333,0.416666666666667,0.333333333333333,0.222222222222222,0.214285714285714,0.263888888888889,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0.5,0.166666666666667,0.666666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0.5,0.833333333333333,0.166666666666667,0,0.5,0,0.833333333333333,0,0.365853658536585,35,0,NA,"Red_block",1,0
"4",0.583333333333333,0.5,0.5,0.666666666666667,0.666666666666667,0.583333333333333,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.7,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.566666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.444444444444444,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.611111111111111,0.777777777777778,0.583333333333333,0.645833333333333,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.583333333333333,0.5,0.694444444444445,0.630952380952381,0.694444444444445,0.666666666666667,0.5,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.833333333333333,1,0.666666666666667,0.5,0.5,0.833333333333333,0.666666666666667,0.5,0.5,0.666666666666667,0.333333333333333,0.833333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.333333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0,0.121951219512195,25,0,1,NA,NA,NA
"5",0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.5,0.333333333333333,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,1,0.833333333333333,1,0,0.166666666666667,0.166666666666667,0.944444444444445,0.111111111111111,0.166666666666667,0,0,0.5,0.333333333333333,0.5,0.0555555555555555,0.444444444444444,0.0666666666666667,0.291666666666667,0,0.166666666666667,0.166666666666667,0,0,NA,NA,NA,0,0.166666666666667,0,0.166666666666667,0,1,1,0,0,0,0,0,0.166666666666667,NA,0.0833333333333333,0.25,0.0555555555555555,0.30952380952381,0.347222222222222,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0,0,0,0.666666666666667,0,0.833333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,1,0.166666666666667,0.666666666666667,0.166666666666667,0,0.5,0,0.731707317073171,50,1,0.545454545454545,"Blue_block",0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.666666666666667,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.722222222222222,0.222222222222222,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.833333333333333,0.166666666666667,0.666666666666667,0.366666666666667,0.416666666666667,NA,0.166666666666667,0.166666666666667,0.5,NA,0,1,NA,0,0.666666666666667,0.333333333333333,0,0,1,0.666666666666667,0.666666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.583333333333333,0.527777777777778,0.154761904761905,0.291666666666667,0.666666666666667,0.833333333333333,0.5,0,0.333333333333333,1,0.5,0.166666666666667,1,0.833333333333333,0,0.5,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0.333333333333333,0.166666666666667,0,0,0,0.166666666666667,0,1,0,0.333333333333333,0,0,0,0.166666666666667,1,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0,0,0,20,0,NA,"Red_block",1,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.333333333333333,0.333333333333333,0,0.5,0.166666666666667,0.266666666666667,0.333333333333333,0.333333333333333,0,0.5,0.166666666666667,0.5,0.333333333333333,0.5,0.5,0.333333333333333,0.166666666666667,0.444444444444444,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.722222222222222,0.404761904761905,0.395833333333333,0,0.666666666666667,0.5,0,0.166666666666667,0.666666666666667,0.833333333333333,NA,0.166666666666667,0.333333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.666666666666667,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.5,0.297619047619048,0.319444444444444,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,0.166666666666667,0.333333333333333,0,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.166666666666667,0.5,0.666666666666667,0.5,0,0,0.666666666666667,0.5,0.333333333333333,0,0.166666666666667,0.166666666666667,0.333333333333333,1,0.121951219512195,25,0,0.0909090909090909,"Red_block",1,0
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,0.166666666666667,0.166666666666667,0,0,0,NA,NA,NA,NA,NA,NA,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.444444444444444,0.388888888888889,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0.666666666666667,0.666666666666667,NA,0,0.361111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0.166666666666667,0,NA,NA,NA,1,1,NA,NA,0,NA,0,0.121951219512195,25,0,1,NA,NA,NA
"9",0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,1,NA,1,0,0.333333333333333,0,1,0.111111111111111,0.5,NA,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.5,0.458333333333333,0.361111111111111,0,0.5,0.333333333333333,0.166666666666667,0.5,0.5,0.666666666666667,1,NA,0.5,0.5,0.166666666666667,0.333333333333333,NA,0.666666666666667,0,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.833333333333333,0.416666666666667,0.25,0.430555555555556,0.448717948717949,0.0555555555555555,0.333333333333333,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.166666666666667,0.5,0.833333333333333,0.166666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.166666666666667,0.166666666666667,0,NA,1,0.833333333333333,0.333333333333333,0,0.666666666666667,0,0.833333333333333,0,0,0.166666666666667,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0,20,0,NA,"Other",0,1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.555555555555555,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.444444444444444,0.5625,0.5,0.333333333333333,0.666666666666667,0,0.166666666666667,NA,NA,1,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.25,0.333333333333333,0.263888888888889,0.294871794871795,0.513888888888889,0.166666666666667,0.333333333333333,0,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,NA,0.5,0.166666666666667,0.333333333333333,0,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.166666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.666666666666667,1,0.666666666666667,0,0,20,0,NA,"Blue_block",0,0
